-------------------------------|----------|----------|----------|----------|----------------|
File                           |  % Stmts | % Branch |  % Funcs |  % Lines |Uncovered Lines |
-------------------------------|----------|----------|----------|----------|----------------|
 contracts/                    |      100 |       50 |      100 |      100 |                |
  NFT.sol                      |      100 |       50 |      100 |      100 |                |
 contracts/Auction/            |    53.23 |    30.88 |    33.33 |    51.95 |                |
  Auction.sol                  |     56.9 |    30.88 |    55.56 |    57.14 |... 340,358,359 |
  MockPriceFeed.sol            |        0 |      100 |        0 |        0 |... 33,49,54,59 |
 contracts/Auction/interfaces/ |      100 |      100 |      100 |      100 |                |
  IPriceFeed.sol               |      100 |      100 |      100 |      100 |                |
-------------------------------|----------|----------|----------|----------|----------------|
All files                      |    55.38 |    31.43 |    41.18 |    53.75 |                |
-------------------------------|----------|----------|----------|----------|----------------|
